_id;Nama;Harga;Kategori
6650cd3217185b766737d5ac;Es Teh Jasmine;4000;Aneka Teh
6650cd7817185b766737d5ad;Es Teh Hijau;5000;Aneka Teh
6650cd8717185b766737d5ae;Es Teh Oolong;6000;Aneka Teh
6650cd9917185b766737d5af;Es Jeruk;4000;Aneka Jeruk
6650cda617185b766737d5b0;Es Jeruk Nipis;5000;Aneka Jeruk
6650cdd217185b766737d5b1;Jus Jeruk;5000;Aneka Jus
6650cddd17185b766737d5b2;Jus Jambu;6000;Aneka Jus
6650cde917185b766737d5b3;Jus Melon;6000;Aneka Jus
6650cdf617185b766737d5b4;Jus Alpukat;7000;Aneka Jus
6650ce0117185b766737d5b5;Jus Sirsak;7000;Aneka Jus
6650ce1117185b766737d5b6;Jus Semangka;8000;Aneka Jus
6650ce3217185b766737d5b7;Jus Nanas;9000;Aneka Jus
6650ce4317185b766737d5b8;Jus Tomat;7000;Aneka Jus
6650ce5517185b766737d5b9;Jus Apel;6000;Aneka Jus
6650ce7517185b766737d5ba;Jus Buah Naga;10000;Aneka Jus
